Libellé;Catégorie
Tableau de bord;Tableau de bord
Créer une demande (pour un usager);Gestion des AMM
Etude des demandes;Gestion des AMM
Validation des demandes;Gestion des AMM
Voir les demandes traitées;Gestion des AMM
Rechercher une demande;Gestion des AMM
Créer une demande (pour un usager);Gestion des AMC
Etude des demandes;Gestion des AMC
Validation des demandes;Gestion des AMC
Voir les demandes traitées;Gestion des AMC
Rechercher une demande;Gestion des AMC
Ajouter nouveau;Base des entreprises
Consulter la liste;Base des entreprises
Traiter les demandes de compte;Base des entreprises
Ajouter nouveau type;Types d'entreprises
Modifier un type;Types d'entreprises
Supprimer un type;Types d'entreprises
Consulter la liste des types d'entreprises;Types d'entreprises
Ajouter un produit;Base des produits | Gérer les produits
Modifier un produit;Base des produits | Gérer les produits
Supprimer un produit;Base des produits | Gérer les produits
Consulter la liste des produits;Base des produits | Gérer les produits
Ajouter une catégorie;Base des produits | Gérer les catégorie de produits
Modifier une catégorie;Base des produits | Gérer les catégorie de produits
Supprimer une catégorie;Base des produits | Gérer les catégorie de produits
Consulter la liste des catégories;Base des produits | Gérer les catégorie de produits
Ajouter un utilisateur;Administration | Gérer les utilisateurs
Modifier un utilisateur;Administration | Gérer les utilisateurs
Supprimer un utilisateur;Administration | Gérer les utilisateurs
Consulter la liste des utilisateurs;Administration | Gérer les utilisateurs
Ajouter un profil;Administration | Gérer les profils
Modifier un profil;Administration | Gérer les profils
Supprimer un profil;Administration | Gérer les profils
Consulter la liste des profils;Administration | Gérer les profils
Gérer les droits d'accès;Administration | Gérer les habilitations
Consulter le journal de l'application;Administration | Mouchard
Editer la grille;Parametrage |Grille des prestations
